Regulus Arcturus Black	Brother of Sirius. Used to be a Death Eater but defected.
Sirius Black	Best friend of James Potter and godfather of Harry.
Lavender Brown	Killed by a werewolf. She was a gryffindor student who dated Ron. 
Cho Chang	Ravenclaw student who dated Cedric Diggory and Harry Potter.
Vincent Crabbe Sr.	Father of Crabbe and death-eater who escaped Azkaban.
Vincent Crabbe	Slytherin student who was best friends with Goyle and followed Draco.
"Bartemius ""Barty"" Crouch Sr."	Head of the department of Internation Magical Cooperation. Killed by his son.
"Bartemius ""Barty"" Crouch Jr."	Death Eater who impersonated Alastor Moody.
Fleur Delacour	Participated in the Triwizard tournament and married Bill Weasley.
Cedric Diggory	Participated in the Triwizard tournament and got killed by Voldemort.
Alberforth Dumbledore	Albus' brother and owner of Hog's Head.
Albus Dumbledore	Headmaster of Hogwards killed by Snape.
Dudley Dursley	Muggle son of Vernon and Petunia and first-cousin of Harry.
Petunia Dursley	Harry's aunt and sister of Lily.
Vernon Dursley	Harry's muggle uncle.
Argus Filch	Squib caretake of Hogwards.
Seamus Finnigan	Harry's friend and member of Dumbledore's army.
Nicolas Flamel	Creator of the Philosopher's Stone.
Cornelius Fudge	Minister of Magic that was forced to resign.
Goyle Sr.	Death Eater and father of Gregory Goyle.
Gregory Goyle	Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.
Hermione Granger	One of Harry's best friend and marries Ron Weasley.
Rubeus Hagrid	Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.
Igor Karkaroff	Highmaster of Durmstrang and reformed death-eater.
Viktor Krum	Participant in the Triwizard tournament. Dated Hermione.
Bellatrix Lestrange	Death Eater who was killed by Molly Weasley.
Alice Longbottom	Mother of Neville who was tortured by Bellatrix.
Frank Longbottom	Father of Neville who was tortured by Bellatrix.
Neville Longbottom	Gryffindor student who was a member of Dumbledore's army.
Luna Lovegood	Ravenclaw student who was a member of Dumbledore's army.
Xenophilius Lovegood	Father of Luna and editor of The Quibbler.
Remus Lupin	Friend of James Potter and werewolf. He married Nymphadora.
Draco Malfoy	Slytherin student who had many arguments with Harry.
Lucius Malfoy	Father of Draco and influential Death-Eater.
Narcissa Malfoy	Mother of Draco and sister of Bellatrix.
Olympe Maxime	Half-giantess and headmistress of Beauxbatons.
Minerva McGonagall	Professor of Transfiguration and head of Gryffindor.
"Alastor ""Mad-Eye"" Moody"	Retired auror and member of the order of the Phoenix. Killed by Voldemort.
Peter Pettigrew	Betrays James and Lily Potter. Follower of Voldemort.
Harry Potter	The boy who lived. Main character of the series.
James Potter	Father of Harry. Murdered by Voldemort.
Lily Potter	Mother of Harry. Murdered by Voldemort.
Quirinus Quirrell	Possessed by Voldemort. Defence against the Dark Arts professor.
Tom Riddle Sr.	Muggle father of Voldemort who was killed by him.
Mary Riddle	Muggle mother of Voldemort who was killed by him.
Lord Voldemort	The antagonist of the series who murdered many.
Rita Skeeter	Reporter at the Daily Prophet.
Severus Snape	Head of the Slytherin house and saved Harry in many occasions.
Nymphadora Tonks	Married Remus Lupin and was killed by Bellatrix.
Dolores Janes Umbridge	Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.
Arthur Weasley	Father of the Weasleys and member of the Order of the Phoenix.
Bill Weasley	Oldest son of Arthur and Molly. Husband of Fleur. 
Charlie Weasley	Second son of Arthur and Molly. Works with dragons in Romania.
Fred Weasley	Identical twin with George and co-owner of Weasleys' Wizard Wheezes
George Weasley	Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes
Ginny Weasley	Marries Harry Potter and only daughter of Molly and Arthur.
Molly Weasley	Wife of Arthur and mother of the Weasleys. Kills Bellatrix.
Percy Weasley	Third son of Arthur and Molly. He is a Gryffindor prefect.
Ron Weasley	Harry's best friend. Marries Hermione.
Dobby	House elf and friend of Harry. He is killed by Bellatrix.
Fluffy	Three-headed dog belonging to Rubeus Hagrid.
Hedwig	Harry's owl.
Moaning Myrtle	Ghost at Hogwards.
Aragog	Acromantula belonging to Rubeus Hagrid.
Grawp	Giant-half brother of Hagrid.
